,ItinID,FarePerMile,Coupons,Origin,RoundTrip,OnLine,RPCarrier,Passengers,ItinFare,BulkFare,Distance,DistanceGroup,MilesFlown,OriginState
2936583,20161720654,0.2427,2,ORD,1.0,1.0,AA,1.0,896.0,0.0,3692.0,8,3692.0,IL
60732,201612861996,0.2103,2,ORD,1.0,1.0,OO,3.0,426.0,0.0,2026.0,5,2026.0,IL
1735933,201612425797,0.2565,2,ORD,1.0,0.0,G7,2.0,534.0,0.0,2082.0,5,2082.0,IL
1603577,201614110419,0.2793,2,MDW,1.0,1.0,WN,2.0,405.0,0.0,1450.0,3,1450.0,IL
2735471,201612424214,0.2054,2,ORD,1.0,1.0,G7,1.0,355.0,0.0,1728.0,4,1728.0,IL
506038,201613505604,0.1207,2,ORD,1.0,1.0,UA,4.0,289.0,0.0,2394.0,5,2394.0,IL
3007804,20161718764,0.0895,3,ORD,1.0,0.0,AA,1.0,302.0,0.0,3459.0,7,3374.0,IL
1123254,20161718070,0.1515,1,ORD,0.0,1.0,AA,9.0,261.0,0.0,1723.0,4,1723.0,IL
1163671,201612537908,1.4524,1,ORD,0.0,1.0,MQ,1.0,671.0,0.0,462.0,1,462.0,IL
1142378,20161716791,0.1197,1,ORD,0.0,1.0,AA,2.0,200.0,0.0,1671.0,4,1671.0,IL
1229840,201612866760,1.6119,1,ORD,0.0,1.0,OO,1.0,108.0,0.0,67.0,1,67.0,IL
910677,201612541144,0.5871,1,ORD,0.0,1.0,MQ,1.0,310.0,0.0,528.0,2,528.0,IL
773209,201612616596,0.0357,2,ORD,1.0,1.0,NK,2.0,108.0,0.0,3028.0,7,3028.0,IL
1509824,201613501660,0.2456,2,ORD,1.0,0.0,UA,1.0,360.0,0.0,1466.0,3,1466.0,IL
695575,201613501703,0.2565,2,ORD,1.0,0.0,UA,4.0,376.0,0.0,1466.0,3,1466.0,IL
1197503,201612537417,0.5605,1,ORD,0.0,1.0,MQ,1.0,403.0,0.0,719.0,2,719.0,IL
1253280,201613511126,0.4237,1,ORD,0.0,1.0,UA,1.0,175.0,0.0,413.0,1,413.0,IL
2129723,201612867319,0.1294,4,ORD,1.0,0.0,OO,1.0,213.0,0.0,1646.0,4,1646.0,IL
780042,201612270783,0.3662,2,MDW,1.0,1.0,EV,1.0,167.0,0.0,456.0,1,456.0,IL
1206240,20161722737,0.4302,1,ORD,0.0,1.0,AA,15.0,111.0,0.0,258.0,1,258.0,IL
2644881,20161680704,0.104,2,ORD,1.0,0.0,AA,1.0,126.0,0.0,1212.0,3,1212.0,IL
9057,20161687922,0.4918,2,ORD,1.0,1.0,AA,1.0,602.0,0.0,1224.0,3,1224.0,IL
291563,201614564869,0.3288,2,ORD,1.0,0.0,YX,1.0,265.0,0.0,806.0,2,806.0,IL
162631,201614099248,0.3237,2,MDW,1.0,1.0,WN,1.0,369.0,0.0,1140.0,3,1140.0,IL
1115647,201614105175,0.9254,1,MDW,0.0,1.0,WN,3.0,211.0,0.0,228.0,1,228.0,IL
1291495,201614119762,0.7928,1,MDW,0.0,1.0,WN,1.0,199.0,0.0,251.0,1,251.0,IL
1331156,20161699505,0.281,1,ORD,0.0,1.0,AA,5.0,206.0,0.0,733.0,2,733.0,IL
2385302,201613516806,0.1007,4,ORD,1.0,1.0,UA,1.0,843.0,0.0,8368.0,17,8368.0,IL
335603,201614100910,0.1612,2,MDW,1.0,1.0,WN,27.0,197.0,0.0,1222.0,3,1222.0,IL
3125338,201613495846,0.1144,3,ORD,1.0,1.0,UA,1.0,386.0,0.0,3374.0,7,3374.0,IL
656805,201611935403,0.1201,2,ORD,0.0,1.0,DL,1.0,266.0,0.0,2214.0,5,2214.0,IL
1501217,20161682400,0.267,2,ORD,1.0,1.0,AA,1.0,463.0,0.0,1734.0,4,1734.0,IL
1454060,201613479618,0.2537,2,ORD,1.0,1.0,UA,1.0,440.0,0.0,1734.0,4,1734.0,IL
3197105,201614116800,0.156,3,MDW,1.0,1.0,WN,1.0,345.0,0.0,2211.0,5,2211.0,IL
1062959,201612542435,0.4003,1,ORD,0.0,1.0,MQ,2.0,243.0,0.0,607.0,2,607.0,IL
28364,20161691884,0.2107,2,ORD,1.0,1.0,AA,1.0,338.0,0.0,1604.0,4,1604.0,IL
387338,201614102025,0.4258,2,MDW,1.0,1.0,WN,4.0,241.0,0.0,566.0,2,566.0,IL
453203,20161700404,0.1269,2,ORD,1.0,1.0,AA,28.0,186.0,0.0,1466.0,3,1466.0,IL
578894,20161682025,0.1176,2,ORD,1.0,1.0,AA,1.0,204.0,0.0,1734.0,4,1734.0,IL
244783,201613479775,0.4296,2,ORD,1.0,1.0,UA,1.0,745.0,0.0,1734.0,4,1734.0,IL
142322,201613518037,0.1291,2,ORD,0.0,1.0,UA,4.0,296.0,0.0,2293.0,5,2293.0,IL
3134895,201613516528,0.1614,3,ORD,1.0,1.0,UA,1.0,634.0,0.0,3927.0,8,3927.0,IL
1368719,201613497796,0.1532,2,ORD,1.0,1.0,UA,1.0,464.0,0.0,3028.0,7,3028.0,IL
2649810,201612615031,0.1611,2,ORD,0.0,1.0,NK,1.0,163.0,0.0,1012.0,3,1012.0,IL
1954201,201611828869,0.1683,4,MDW,1.0,1.0,DL,1.0,271.0,0.0,1610.0,4,1610.0,IL
1468178,201612534621,0.3692,2,ORD,1.0,0.0,MQ,2.0,302.0,0.0,818.0,2,818.0,IL
2674626,201612533761,0.144,2,ORD,1.0,1.0,MQ,1.0,322.0,0.0,2236.0,5,2236.0,IL
989255,20161689007,0.4227,1,ORD,0.0,1.0,AA,2.0,339.0,0.0,802.0,2,802.0,IL
875184,201612865883,0.2789,1,ORD,0.0,1.0,OO,1.0,164.0,0.0,588.0,2,588.0,IL
985422,201614118470,0.0701,1,MDW,0.0,1.0,WN,9.0,130.0,0.0,1855.0,4,1855.0,IL
3091303,201612542607,0.5822,3,ORD,1.0,0.0,MQ,1.0,308.0,0.0,631.0,2,529.0,IL
2823425,20161693852,0.3764,2,ORD,1.0,1.0,AA,2.0,758.0,0.0,2014.0,5,2014.0,IL
1269501,201612539638,6.1655,1,ORD,0.0,1.0,MQ,1.0,857.0,0.0,139.0,1,139.0,IL
240191,201613506946,0.3495,2,ORD,1.0,1.0,UA,1.0,585.0,0.0,1674.0,4,1674.0,IL
595145,2016162779,0.3081,2,ORD,1.0,1.0,9E,2.0,456.0,0.0,1480.0,3,1480.0,IL
3263852,201614119793,0.0965,3,MDW,1.0,1.0,WN,1.0,128.0,0.0,1326.0,3,1326.0,IL
1545488,201613513792,0.2326,2,ORD,1.0,1.0,UA,3.0,521.0,0.0,2240.0,5,2240.0,IL
871110,201611936313,0.3472,2,ORD,0.0,0.0,DL,1.0,466.0,0.0,1342.0,3,1342.0,IL
2888159,201612425831,0.3554,2,ORD,1.0,0.0,G7,1.0,740.0,0.0,2082.0,5,2082.0,IL
1351443,201614561891,0.2723,1,ORD,0.0,1.0,YX,1.0,165.0,0.0,606.0,2,606.0,IL
1040549,201613478583,0.6373,1,ORD,0.0,1.0,UA,1.0,499.0,0.0,783.0,2,783.0,IL
355438,201614565487,0.3354,2,ORD,1.0,0.0,YX,1.0,277.0,0.0,826.0,2,826.0,IL
604020,201613517027,0.0688,2,ORD,1.0,1.0,UA,2.0,254.0,0.0,3692.0,8,3692.0,IL
273869,201612866442,0.2851,2,ORD,1.0,0.0,OO,1.0,418.0,0.0,1466.0,3,1466.0,IL
555401,201613510410,0.0854,2,ORD,1.0,0.0,UA,1.0,246.0,0.0,2880.0,6,2880.0,IL
3271611,20161685650,0.2553,3,ORD,1.0,1.0,AA,1.0,592.0,0.0,2319.0,5,2319.0,IL
2667333,201612293209,0.7907,2,ORD,1.0,0.0,EV,1.0,408.0,0.0,516.0,2,516.0,IL
3049868,201613045761,0.2797,3,ORD,1.0,0.0,S5,1.0,489.0,0.0,1748.0,4,1748.0,IL
2700700,201614119879,0.3397,2,MDW,0.0,1.0,WN,1.0,215.0,0.0,633.0,2,633.0,IL
1735746,201612423292,0.4274,2,ORD,1.0,1.0,G7,1.0,512.0,0.0,1198.0,3,1198.0,IL
1043807,201612615588,0.0854,1,ORD,0.0,1.0,NK,1.0,101.0,0.0,1182.0,3,1182.0,IL
2438882,20161712831,0.0788,4,ORD,1.0,1.0,AA,1.0,705.0,0.0,8943.0,18,8943.0,IL
2796187,201613501295,0.1432,2,ORD,1.0,0.0,UA,1.0,210.0,0.0,1466.0,3,1466.0,IL
1036556,201612293571,0.5705,1,ORD,0.0,1.0,EV,1.0,271.0,0.0,475.0,1,475.0,IL
197399,201613049043,0.75,2,ORD,1.0,0.0,S5,1.0,429.0,0.0,572.0,2,572.0,IL
2342917,20161713229,0.0947,4,ORD,1.0,1.0,AA,1.0,831.0,0.0,8778.0,18,8778.0,IL
2693777,201613737285,0.0769,2,ORD,1.0,1.0,VX,7.0,284.0,0.0,3692.0,8,3692.0,IL
1680075,201614563169,0.4428,2,ORD,1.0,0.0,YX,1.0,542.0,0.0,1224.0,3,1224.0,IL
3208204,20161711275,0.4116,3,ORD,1.0,0.0,AA,1.0,531.0,0.0,1409.0,3,1290.0,IL
729707,201612422538,0.2318,2,ORD,1.0,1.0,G7,3.0,281.0,0.0,1212.0,3,1212.0,IL
417016,201612290864,0.3223,2,ORD,1.0,0.0,EV,1.0,557.0,0.0,1728.0,4,1728.0,IL
3003213,201613500938,0.1529,3,ORD,1.0,0.0,UA,1.0,222.0,0.0,1469.0,3,1452.0,IL
993354,201612540442,0.8582,1,ORD,0.0,1.0,MQ,1.0,357.0,0.0,416.0,1,416.0,IL
1080779,201612864515,1.25,1,ORD,0.0,1.0,OO,2.0,300.0,0.0,240.0,1,240.0,IL
277651,201614564458,1.1271,2,ORD,1.0,1.0,YX,1.0,399.0,0.0,354.0,1,354.0,IL
2869257,201613498042,0.2675,2,ORD,1.0,1.0,UA,2.0,810.0,0.0,3028.0,7,3028.0,IL
497011,201613481131,0.4446,2,ORD,1.0,1.0,UA,1.0,281.0,0.0,632.0,2,632.0,IL
2006760,201612865644,0.0594,4,ORD,1.0,0.0,OO,1.0,274.0,0.0,4614.0,10,4614.0,IL
2757977,20161714222,0.2236,2,ORD,1.0,1.0,AA,3.0,644.0,0.0,2880.0,6,2880.0,IL
1289965,201614105176,0.9342,1,MDW,0.0,1.0,WN,1.0,213.0,0.0,228.0,1,228.0,IL
2734302,20161692349,0.1675,2,ORD,0.0,1.0,AA,1.0,323.0,0.0,1928.0,4,1928.0,IL
276498,201614119212,0.1787,2,MDW,1.0,1.0,WN,6.0,450.0,0.0,2518.0,6,2518.0,IL
1200302,20161719847,0.2037,1,ORD,0.0,1.0,AA,1.0,376.0,0.0,1846.0,4,1846.0,IL
145457,20161717462,0.1321,2,ORD,1.0,1.0,AA,44.0,296.0,0.0,2240.0,5,2240.0,IL
2628486,201611932109,0.1884,2,ORD,0.0,1.0,DL,3.0,165.0,0.0,876.0,2,876.0,IL
1722472,201613495307,0.1238,2,ORD,1.0,0.0,UA,1.0,229.0,0.0,1850.0,4,1850.0,IL
255327,201613486781,0.319,2,ORD,0.0,0.0,UA,1.0,259.0,0.0,812.0,2,812.0,IL
346082,20161682278,0.207,2,ORD,1.0,1.0,AA,2.0,359.0,0.0,1734.0,4,1734.0,IL
969441,20161712503,0.3694,1,ORD,0.0,1.0,AA,9.0,532.0,0.0,1440.0,3,1440.0,IL
1710617,20161723130,0.8469,2,ORD,1.0,1.0,AA,4.0,437.0,0.0,516.0,2,516.0,IL
1677104,20161681843,0.2912,2,ORD,0.0,1.0,AA,1.0,306.0,0.0,1051.0,3,1051.0,IL
1651434,20161682277,0.2065,2,ORD,1.0,1.0,AA,2.0,358.0,0.0,1734.0,4,1734.0,IL
